vendor_id, pickup_datetime, dropoff_datetime, passenger_count, trip_distance, pickup_longitude, pickup_latitude, rate_code, store_and_fwd_flag, dropoff_longitude, dropoff_latitude, payment_type, fare_amount, surcharge, mta_tax, tip_amount, tolls_amount, total_amount
CMT,2014-07-10 08:21:13,2014-07-10 08:55:40,3,10.699999999999999,-74.007448999999994,40.741081999999999,1,N,-73.871091000000007,40.774287999999999,CSH,34.5,0,0.5,0,5.3300000000000001,40.329999999999998
CMT,2014-07-10 07:08:21,2014-07-10 07:11:38,1,0.69999999999999996,-73.992621,40.755246,1,N,-73.982455999999999,40.749470000000002,CSH,4.5,0,0.5,0,0,5
CMT,2014-07-10 07:48:14,2014-07-10 07:59:13,1,1.3999999999999999,-73.977368999999996,40.753134000000003,1,N,-73.998760000000004,40.753546999999998,CSH,9,0,0.5,0,0,9.5
CMT,2014-07-10 07:31:33,2014-07-10 07:39:15,1,0.90000000000000002,-73.993326999999994,40.751930999999999,1,N,-73.983446999999998,40.762739000000003,CSH,7,0,0.5,0,0,7.5
CMT,2014-07-10 08:35:01,2014-07-10 08:43:00,2,0.59999999999999998,-73.976719000000003,40.756027000000003,1,N,-73.979951,40.762008000000002,CSH,6.5,0,0.5,0,0,7
CMT,2014-07-10 14:41:07,2014-07-10 14:53:59,1,1,-73.981458000000003,40.741014,1,N,-73.972894999999994,40.753577999999997,CSH,9,0,0.5,0,0,9.5
CMT,2014-07-10 09:03:46,2014-07-10 09:32:34,1,3.8999999999999999,-73.957559000000003,40.782634999999999,1,N,-73.991107999999997,40.733466999999997,CSH,20,0,0.5,0,0,20.5
CMT,2014-07-10 11:46:20,2014-07-10 11:49:51,1,0.59999999999999998,-73.977997999999999,40.783703000000003,1,N,-73.975639999999999,40.777749999999997,CSH,4.5,0,0.5,0,0,5
CMT,2014-07-10 07:07:57,2014-07-10 07:10:52,1,0.69999999999999996,-73.982315,40.762211000000001,1,N,-73.97663,40.756433000000001,CSH,4.5,0,0.5,0,0,5
CMT,2014-07-10 11:15:33,2014-07-10 11:25:23,1,0.69999999999999996,-73.992395000000002,40.738003999999997,1,N,-74.004621999999998,40.742082000000003,CSH,7.5,0,0.5,0,0,8
CMT,2014-07-10 12:25:30,2014-07-10 12:41:18,2,2.2000000000000002,-73.954462000000007,40.764159999999997,1,N,-73.986743000000004,40.777093999999998,CSH,12,0,0.5,0,0,12.5
CMT,2014-07-10 11:50:15,2014-07-10 12:03:36,1,1.8,-73.960946000000007,40.760948999999997,1,N,-73.980581999999998,40.775118999999997,CSH,10.5,0,0.5,0,0,11
CMT,2014-07-10 12:45:46,2014-07-10 12:56:22,2,1.1000000000000001,-74.008364,40.707501000000001,1,N,-73.994985999999997,40.717981000000002,CSH,8,0,0.5,0,0,8.5
CMT,2014-07-10 11:06:38,2014-07-10 11:15:20,1,0.80000000000000004,-73.991460000000004,40.755186000000002,1,N,-73.983104999999995,40.765956000000003,CSH,7,0,0.5,0,0,7.5
