VendorID,lpep_pickup_datetime,Lpep_dropoff_datetime,Store_and_fwd_flag,RateCodeID,Pickup_longitude,Pickup_latitude,Dropoff_longitude,Dropoff_latitude,Passenger_count,Trip_distance,Fare_amount,Extra,MTA_tax,Tip_amount,Tolls_amount,Ehail_fee,improvement_surcharge,Total_amount,Payment_type,Trip_type 
2,2016-02-01 00:32:51,2016-02-01 00:38:35,N,1,-73.890174865722656,40.746082305908203,-73.884002685546875,40.734748840332031,5,1.42,6.5,0.5,0.5,1.56,0,,0.3,9.36,1,1
2,2016-02-01 00:20:58,2016-02-01 00:37:34,N,1,-73.950775146484375,40.71405029296875,-73.999801635742187,40.647003173828125,1,8.28,24.5,0.5,0.5,7.74,0,,0.3,33.54,1,1
2,2016-02-01 00:11:10,2016-02-01 00:15:27,N,1,-73.947967529296875,40.814476013183594,-73.935737609863281,40.825946807861328,2,1.17,6,0.5,0.5,0,0,,0.3,7.3,2,1
2,2016-02-01 00:59:04,2016-02-01 01:05:35,N,1,-73.943344116210937,40.801914215087891,-73.941925048828125,40.810531616210938,2,1.39,7,0.5,0.5,0,0,,0.3,8.3,2,1
2,2016-02-01 00:15:45,2016-02-01 00:21:11,N,1,-73.945075988769531,40.808300018310547,-73.957473754882813,40.804351806640625,2,1.03,6,0.5,0.5,1.46,0,,0.3,8.76,1,1
2,2016-02-01 00:26:45,2016-02-01 00:32:35,N,1,-73.92059326171875,40.756877899169922,-73.90740966796875,40.773818969726563,1,1.33,6.5,0.5,0.5,0,0,,0.3,7.8,2,1
2,2016-02-01 00:05:06,2016-02-01 00:10:58,N,1,-73.869308471679688,40.749053955078125,-73.861038208007812,40.737743377685547,1,1.24,6.5,0.5,0.5,0,0,,0.3,7.8,2,1
2,2016-02-01 00:42:00,2016-02-01 00:47:57,N,1,-73.892105102539063,40.746780395507813,-73.905838012695313,40.755638122558594,1,1.29,6.5,0.5,0.5,0,0,,0.3,7.8,2,1
2,2016-02-01 00:03:04,2016-02-01 00:07:32,N,1,-73.891487121582031,40.746677398681641,-73.879127502441406,40.743938446044922,1,.82,5,0.5,0.5,0,0,,0.3,6.3,1,1
2,2016-02-01 00:21:19,2016-02-01 00:31:29,N,1,-73.891365051269531,40.746601104736328,-73.858314514160156,40.742511749267578,1,2.29,9.5,0.5,0.5,0,0,,0.3,10.8,2,1
2,2016-02-01 00:20:31,2016-02-01 00:31:50,N,1,-73.896331787109375,40.754405975341797,-73.9034423828125,40.745338439941406,1,2.48,10.5,0.5,0.5,0,0,,0.3,11.8,2,1
2,2016-02-01 00:49:51,2016-02-01 00:54:56,N,1,-73.9034423828125,40.745361328125,-73.890914916992188,40.738971710205078,1,1.13,6,0.5,0.5,0,0,,0.3,7.3,2,1
2,2016-02-01 00:08:19,2016-02-01 00:14:21,N,1,-73.830360412597656,40.759620666503906,-73.832466125488281,40.751895904541016,1,.87,6,0.5,0.5,0,0,,0.3,7.3,2,1
2,2016-02-01 00:20:46,2016-02-01 00:25:14,N,1,-73.829879760742187,40.759708404541016,-73.81854248046875,40.765235900878906,1,1.03,5.5,0.5,0.5,0,0,,0.3,6.8,2,1
2,2016-02-01 00:46:25,2016-02-01 00:54:40,N,1,-73.829925537109375,40.759559631347656,-73.828536987304688,40.768566131591797,1,1.72,7.5,0.5,0.5,0,0,,0.3,8.8,2,1
2,2016-02-01 00:46:30,2016-02-01 01:00:31,N,1,-73.94024658203125,40.840618133544922,-73.855255126953125,40.899082183837891,1,8.89,25,0.5,0.5,0,0,,0.3,26.3,2,1
2,2016-02-01 00:18:29,2016-02-01 00:20:15,N,1,-73.934463500976562,40.801620483398438,-73.943778991699219,40.791294097900391,1,.77,4,0.5,0.5,0,0,,0.3,5.3,2,1
2,2016-02-01 00:33:11,2016-02-01 00:41:26,N,1,-73.941116333007813,40.814311981201172,-73.954605102539062,40.820949554443359,1,1.35,7.5,0.5,0.5,1.76,0,,0.3,10.56,1,1
2,2016-02-01 00:51:19,2016-02-01 01:06:24,N,1,-73.952049255371094,40.810535430908203,-73.911186218261719,40.838108062744141,1,3.56,14,0.5,0.5,3.06,0,,0.3,18.36,1,1
2,2016-02-01 00:29:08,2016-02-01 00:33:15,N,1,-73.844230651855469,40.721328735351562,-73.859718322753906,40.726516723632813,1,1.04,5.5,0.5,0.5,2,0,,0.3,8.8,1,1
2,2016-02-01 00:52:57,2016-02-01 00:56:38,N,1,-73.844253540039062,40.721336364746094,-73.848808288574219,40.727153778076172,1,.61,5,0.5,0.5,0,0,,0.3,6.3,2,1
2,2016-02-01 00:06:29,2016-02-01 00:12:35,N,1,-73.952201843261719,40.789836883544922,-73.938751220703125,40.819919586181641,1,2.50,8.5,0.5,0.5,1.96,0,,0.3,11.76,1,1
