,Dispatching_base_num,Pickup_date,locationID
338,B00013,2015-02-02 20:08:00,
339,B00013,2015-02-02 20:09:00,
340,B00013,2015-02-02 20:10:00,
341,B00013,2015-02-02 20:10:00,
342,B00013,2015-02-02 20:11:00,
343,B00013,2015-02-02 20:15:00,
344,B00013,2015-02-02 20:15:00,
345,B00013,2015-02-02 20:17:00,
346,B00013,2015-02-02 20:19:00,
347,B00013,2015-02-02 20:20:00,
348,B00013,2015-02-02 20:20:00,
349,B00013,2015-02-02 20:30:00,
350,B00013,2015-02-02 20:30:00,
351,B00013,2015-02-02 20:30:00,
352,B00013,2015-02-02 20:30:00,
353,B00013,2015-02-02 20:31:00,
354,B00013,2015-02-02 20:32:00,
355,B00013,2015-02-02 20:37:00,
356,B00013,2015-02-02 20:37:00,
357,B00013,2015-02-02 20:38:00,
358,B00013,2015-02-02 20:39:00,
359,B00013,2015-02-02 20:40:00,
360,B00013,2015-02-02 20:44:00,
361,B00013,2015-02-02 20:45:00,
362,B00013,2015-02-02 20:45:00,
363,B00013,2015-02-02 20:51:00,
364,B00013,2015-02-02 20:52:00,
365,B00013,2015-02-02 20:54:00,
366,B00013,2015-02-02 20:57:00,
367,B00013,2015-02-02 21:00:00,
368,B00013,2015-02-02 21:00:00,
369,B00013,2015-02-02 21:00:00,
370,B00013,2015-02-02 21:00:00,
371,B00013,2015-02-02 21:03:00,
372,B00013,2015-02-02 21:03:00,
373,B00013,2015-02-02 21:05:00,
374,B00013,2015-02-02 21:06:00,
375,B00013,2015-02-02 21:07:00,
376,B00013,2015-02-02 21:07:00,
377,B00013,2015-02-02 21:07:00,
378,B00013,2015-02-02 21:07:00,
379,B00013,2015-02-02 21:10:00,
380,B00013,2015-02-02 21:21:00,
381,B00013,2015-02-02 21:22:00,
382,B00013,2015-02-02 21:25:00,
383,B00013,2015-02-02 21:30:00,
384,B00013,2015-02-02 21:30:00,
385,B00013,2015-02-02 21:33:00,
386,B00013,2015-02-02 21:45:00,
387,B00013,2015-02-02 21:45:00,
388,B00013,2015-02-02 21:45:00,
389,B00013,2015-02-02 21:46:00,
390,B00013,2015-02-02 21:48:00,
391,B00013,2015-02-02 21:53:00,
392,B00013,2015-02-02 22:00:00,
393,B00013,2015-02-02 22:00:00,
394,B00013,2015-02-02 22:01:00,
395,B00013,2015-02-02 22:02:00,
396,B00013,2015-02-02 22:02:00,
397,B00013,2015-02-02 22:03:00,
398,B00013,2015-02-02 22:03:00,
399,B00013,2015-02-02 22:05:00,
400,B00013,2015-02-02 22:05:00,
401,B00013,2015-02-02 22:05:00,
402,B00013,2015-02-02 22:05:00,
403,B00013,2015-02-02 22:05:00,
404,B00013,2015-02-02 22:06:00,
405,B00013,2015-02-02 22:07:00,
406,B00013,2015-02-02 22:08:00,
407,B00013,2015-02-02 22:08:00,
408,B00013,2015-02-02 22:08:00,
409,B00013,2015-02-02 22:10:00,
410,B00013,2015-02-02 22:10:00,
411,B00013,2015-02-02 22:10:00,
412,B00013,2015-02-02 22:10:00,
413,B00013,2015-02-02 22:10:00,
414,B00013,2015-02-02 22:10:00,
415,B00013,2015-02-02 22:10:00,
416,B00013,2015-02-02 22:11:00,
417,B00013,2015-02-02 22:11:00,
418,B00013,2015-02-02 22:11:00,
419,B00013,2015-02-02 22:11:00,
420,B00013,2015-02-02 22:13:00,
421,B00013,2015-02-02 22:13:00,
422,B00013,2015-02-02 22:17:00,
423,B00013,2015-02-02 22:18:00,
424,B00013,2015-02-02 22:19:00,
425,B00013,2015-02-02 22:19:00,
426,B00013,2015-02-02 22:20:00,
427,B00013,2015-02-02 22:20:00,
428,B00013,2015-02-02 22:20:00,
429,B00013,2015-02-02 22:20:00,
430,B00013,2015-02-02 22:22:00,
431,B00013,2015-02-02 22:22:00,
432,B00013,2015-02-02 22:22:00,
433,B00013,2015-02-02 22:26:00,
434,B00013,2015-02-02 22:26:00,
435,B00013,2015-02-02 22:27:00,
436,B00013,2015-02-02 22:28:00,
437,B00013,2015-02-02 22:28:00,
438,B00013,2015-02-02 22:28:00,
439,B00013,2015-02-02 22:28:00,
440,B00013,2015-02-02 22:28:00,
441,B00013,2015-02-02 22:30:00,
442,B00013,2015-02-02 22:33:00,
443,B00013,2015-02-02 22:33:00,
444,B00013,2015-02-02 22:35:00,
445,B00013,2015-02-02 22:36:00,
446,B00013,2015-02-02 22:38:00,
447,B00013,2015-02-02 22:38:00,
448,B00013,2015-02-02 22:39:00,
449,B00013,2015-02-02 22:40:00,
450,B00013,2015-02-02 22:40:00,
451,B00013,2015-02-02 22:40:00,
452,B00013,2015-02-02 22:41:00,
453,B00013,2015-02-02 22:41:00,
454,B00013,2015-02-02 22:41:00,
455,B00013,2015-02-02 22:41:00,
456,B00013,2015-02-02 22:42:00,
457,B00013,2015-02-02 22:44:00,
458,B00013,2015-02-02 22:45:00,
459,B00013,2015-02-02 22:45:00,
460,B00013,2015-02-02 22:47:00,
461,B00013,2015-02-02 22:47:00,
462,B00013,2015-02-02 22:49:00,
463,B00013,2015-02-02 22:51:00,
464,B00013,2015-02-02 22:51:00,
465,B00013,2015-02-02 22:54:00,
466,B00013,2015-02-02 22:56:00,
467,B00013,2015-02-02 23:00:00,
468,B00013,2015-02-02 23:00:00,
469,B00013,2015-02-02 23:00:00,
470,B00013,2015-02-02 23:00:00,
471,B00013,2015-02-02 23:00:00,
472,B00013,2015-02-02 23:00:00,
473,B00013,2015-02-02 23:02:00,
474,B00013,2015-02-02 23:02:00,
475,B00013,2015-02-02 23:06:00,
476,B00013,2015-02-02 23:06:00,
477,B00013,2015-02-02 23:10:00,
478,B00013,2015-02-02 23:15:00,
479,B00013,2015-02-02 23:15:00,
480,B00013,2015-02-02 23:16:00,
481,B00013,2015-02-02 23:16:00,
482,B00013,2015-02-02 23:16:00,
483,B00013,2015-02-02 23:18:00,
484,B00013,2015-02-02 23:20:00,
485,B00013,2015-02-02 23:23:00,
486,B00013,2015-02-02 23:24:00,
487,B00013,2015-02-02 23:25:00,
488,B00013,2015-02-02 23:30:00,
489,B00013,2015-02-02 23:30:00,
490,B00013,2015-02-02 23:30:00,
491,B00013,2015-02-02 23:30:00,
492,B00013,2015-02-02 23:34:00,
