,Trip_Pickup_DateTime,Passenger_Count
461,2009-01-17 17:43:00,1.0
462,2009-01-13 15:44:00,1.0
463,2009-01-11 21:43:00,1.0
464,2009-01-13 14:32:00,1.0
465,2009-01-13 13:24:00,1.0
466,2009-01-17 18:55:30,1.0
467,2009-01-13 04:38:00,4.0
468,2009-01-12 16:41:00,1.0
469,2009-01-13 10:52:00,1.0
470,2009-01-13 06:25:00,1.0
471,2009-01-13 13:29:00,1.0
472,2009-01-13 13:13:00,1.0
473,2009-01-17 22:28:35,1.0
474,2009-01-13 00:12:00,1.0
475,2009-01-13 16:49:00,1.0
476,2009-01-13 17:11:00,2.0
477,2009-01-17 23:00:51,1.0
478,2009-01-13 08:30:00,1.0
479,2009-01-12 14:24:00,1.0
480,2009-01-13 20:12:00,1.0
481,2009-01-13 16:25:00,1.0
482,2009-01-12 20:24:00,1.0
483,2009-01-13 09:04:00,1.0
484,2009-01-13 17:20:00,2.0
485,2009-01-17 23:07:46,1.0
486,2009-01-13 18:56:00,1.0
487,2009-01-13 20:26:00,1.0
488,2009-01-13 18:34:00,1.0
489,2009-01-13 18:16:00,1.0
490,2009-01-13 21:40:00,5.0
491,2009-01-17 23:25:17,1.0
492,2009-01-13 21:59:00,1.0
493,2009-01-18 00:09:15,2.0
494,2009-01-17 19:34:18,1.0
495,2009-01-12 23:43:00,1.0
496,2009-01-18 02:45:18,1.0
497,2009-01-13 19:42:00,1.0
498,2009-01-18 03:22:14,3.0
499,2009-01-18 18:41:07,2.0
500,2009-01-11 01:59:00,2.0
501,2009-01-12 21:37:00,2.0
502,2009-01-18 04:32:55,3.0
503,2009-01-18 03:55:59,1.0
504,2009-01-12 16:17:00,3.0
505,2009-01-18 04:24:25,1.0
506,2009-01-13 22:08:00,1.0
507,2009-01-14 10:15:00,5.0
508,2009-01-14 00:27:00,2.0
509,2009-01-13 23:46:00,5.0
510,2009-01-12 23:35:00,3.0
511,2009-01-18 00:44:23,1.0
512,2009-01-13 18:05:00,5.0
513,2009-01-14 11:47:00,1.0
514,2009-01-12 14:54:00,5.0
515,2009-01-14 07:33:00,2.0
516,2009-01-13 16:16:00,1.0
517,2009-01-18 02:17:26,1.0
518,2009-01-22 21:28:59,1.0
519,2009-01-14 14:31:00,3.0
520,2009-01-18 12:12:14,1.0
521,2009-01-18 09:26:23,1.0
522,2009-01-18 10:36:06,1.0
523,2009-01-14 12:15:00,1.0
524,2009-01-14 10:42:00,1.0
525,2009-01-14 07:30:00,1.0
526,2009-01-12 14:04:00,2.0
527,2009-01-14 07:29:00,2.0
528,2009-01-14 08:12:00,1.0
529,2009-01-14 12:50:00,1.0
530,2009-01-18 07:31:04,1.0
531,2009-01-14 09:23:00,1.0
532,2009-01-14 09:54:00,1.0
533,2009-01-14 09:41:00,5.0
534,2009-01-11 10:42:00,1.0
535,2009-01-11 08:53:00,2.0
536,2009-01-17 14:33:22,2.0
537,2009-01-11 00:28:00,1.0
538,2009-01-17 16:55:44,1.0
539,2009-01-11 02:31:00,4.0
540,2009-01-10 21:10:00,2.0
541,2009-01-11 11:52:00,1.0
542,2009-01-11 03:01:00,1.0
543,2009-01-11 11:33:00,1.0
544,2009-01-10 19:45:00,1.0
545,2009-01-11 00:45:00,1.0
546,2009-01-17 21:27:26,1.0
547,2009-01-10 22:55:00,1.0
548,2009-01-16 20:52:37,1.0
549,2009-01-17 15:08:10,2.0
550,2009-01-11 05:31:00,1.0
551,2009-01-17 20:56:31,1.0
552,2009-01-11 13:26:00,1.0
553,2009-01-10 23:11:00,5.0
554,2009-01-11 22:17:00,1.0
